date,ticker,sentiment_score,message_volume,group,retail_sentiment,news_sentiment
2021-02-10,MSFT,0.0,1,High-Growth Tech,0.0,0
2021-02-10,NVDA,0.0,2,High-Growth Tech,0.0,0
2021-02-10,TSLA,0.0,8,High-Growth Tech,0.0,0
2021-02-11,AAPL,0.5,2,High-Growth Tech,0.5,0
2021-02-11,AMZN,0.0,2,High-Growth Tech,0.0,0
2021-02-11,JPM,-1.0,1,Traditional Value,-1.0,0
2021-02-11,MSFT,0.5,2,High-Growth Tech,0.5,0
2021-02-11,TSLA,-0.14285714285714285,7,High-Growth Tech,-0.14285714285714285,0
2021-02-12,AAPL,0.0,3,High-Growth Tech,0.0,0
2021-02-12,AMZN,0.0,5,High-Growth Tech,0.0,0
2021-02-12,JPM,0.0,1,Traditional Value,0.0,0
2021-02-12,MSFT,0.0,1,High-Growth Tech,0.0,0
2021-02-12,NVDA,0.0,3,High-Growth Tech,0.0,0
2021-02-12,TSLA,-0.14285714285714285,7,High-Growth Tech,-0.14285714285714285,0
2021-02-13,AAPL,0.0,2,High-Growth Tech,0.0,0
2021-02-13,AMZN,0.2,5,High-Growth Tech,0.2,0
2021-02-13,NVDA,0.0,4,High-Growth Tech,0.0,0
2021-02-13,TSLA,-0.1,10,High-Growth Tech,-0.1,0
2021-02-14,AAPL,0.5,2,High-Growth Tech,0.5,0
2021-02-14,AMZN,-0.3333333333333333,3,High-Growth Tech,-0.3333333333333333,0
2021-02-14,MSFT,0.0,3,High-Growth Tech,0.0,0
2021-02-14,NVDA,0.0,1,High-Growth Tech,0.0,0
2021-02-14,TSLA,0.0,13,High-Growth Tech,0.0,0
2021-02-15,AAPL,0.0,1,High-Growth Tech,0.0,0
2021-02-15,AMZN,0.0,1,High-Growth Tech,0.0,0
2021-02-15,MSFT,-1.0,1,High-Growth Tech,-1.0,0
2021-02-15,NVDA,-0.5,2,High-Growth Tech,-0.5,0
2021-02-15,TSLA,-0.16666666666666666,6,High-Growth Tech,-0.16666666666666666,0
2021-02-15,XOM,0.0,1,Traditional Value,0.0,0
2021-02-16,AMZN,0.0,2,High-Growth Tech,0.0,0
2021-02-16,JPM,0.0,1,Traditional Value,0.0,0
2021-02-16,MSFT,0.0,2,High-Growth Tech,0.0,0
2021-02-16,NVDA,0.0,1,High-Growth Tech,0.0,0
2021-02-16,TSLA,0.3333333333333333,6,High-Growth Tech,0.3333333333333333,0
2021-02-17,AMZN,0.0,1,High-Growth Tech,0.0,0
2021-02-17,JPM,0.0,2,Traditional Value,0.0,0
2021-02-17,MSFT,1.0,1,High-Growth Tech,1.0,0
2021-02-17,NVDA,0.0,4,High-Growth Tech,0.0,0
2021-02-17,TSLA,-0.16666666666666666,6,High-Growth Tech,-0.16666666666666666,0
2021-02-18,AAPL,-0.3333333333333333,3,High-Growth Tech,-0.3333333333333333,0
2021-02-18,AMZN,0.0,2,High-Growth Tech,0.0,0
2021-02-18,MSFT,0.0,1,High-Growth Tech,0.0,0
2021-02-18,TSLA,-0.375,8,High-Growth Tech,-0.375,0
2021-02-19,AAPL,0.5,2,High-Growth Tech,0.5,0
2021-02-19,AMZN,0.0,2,High-Growth Tech,0.0,0
2021-02-19,MSFT,0.0,1,High-Growth Tech,0.0,0
2021-02-19,NVDA,0.0,1,High-Growth Tech,0.0,0
2021-02-19,TSLA,0.0,2,High-Growth Tech,0.0,0
2021-02-20,AAPL,0.0,2,High-Growth Tech,0.0,0
2021-02-20,AMZN,0.0,2,High-Growth Tech,0.0,0
2021-02-20,JPM,0.0,1,Traditional Value,0.0,0
2021-02-20,NVDA,1.0,1,High-Growth Tech,1.0,0
2021-02-20,TSLA,0.2857142857142857,7,High-Growth Tech,0.2857142857142857,0
2021-02-21,AAPL,0.0,1,High-Growth Tech,0.0,0
2021-02-21,AMZN,0.5,2,High-Growth Tech,0.5,0
2021-02-21,JPM,0.0,2,Traditional Value,0.0,0
2021-02-21,TSLA,0.0,8,High-Growth Tech,0.0,0
2021-02-22,AAPL,0.0,2,High-Growth Tech,0.0,0
2021-02-22,AMZN,0.3333333333333333,3,High-Growth Tech,0.3333333333333333,0
2021-02-22,NVDA,0.0,1,High-Growth Tech,0.0,0
2021-02-22,TSLA,0.0,7,High-Growth Tech,0.0,0
2021-02-23,AAPL,0.0,4,High-Growth Tech,0.0,0
2021-02-23,AMZN,0.0,3,High-Growth Tech,0.0,0
2021-02-23,NVDA,-0.3333333333333333,3,High-Growth Tech,-0.3333333333333333,0
2021-02-23,TSLA,-0.18181818181818182,11,High-Growth Tech,-0.18181818181818182,0
2021-02-23,XOM,-1.0,3,Traditional Value,-1.0,0
2021-02-24,AAPL,-0.16666666666666666,6,High-Growth Tech,-0.16666666666666666,0
2021-02-24,AMZN,0.0,2,High-Growth Tech,0.0,0
2021-02-24,JPM,0.0,1,Traditional Value,0.0,0
2021-02-24,TSLA,-0.14285714285714285,14,High-Growth Tech,-0.14285714285714285,0
2021-02-25,AAPL,-0.2,5,High-Growth Tech,-0.2,0
2021-02-25,AMZN,-1.0,1,High-Growth Tech,-1.0,0
2021-02-25,TSLA,-0.08333333333333333,12,High-Growth Tech,-0.08333333333333333,0
2021-02-26,AAPL,-0.14285714285714285,7,High-Growth Tech,-0.14285714285714285,0
2021-02-26,AMZN,0.0,2,High-Growth Tech,0.0,0
2021-02-26,JPM,0.3333333333333333,3,Traditional Value,0.3333333333333333,0
2021-02-26,NVDA,1.0,1,High-Growth Tech,1.0,0
2021-02-26,TSLA,0.0,7,High-Growth Tech,0.0,0
2021-02-27,AAPL,0.0,1,High-Growth Tech,0.0,0
2021-02-27,AMZN,0.14285714285714285,7,High-Growth Tech,0.14285714285714285,0
2021-02-27,MSFT,0.0,1,High-Growth Tech,0.0,0
2021-02-27,TSLA,0.3333333333333333,3,High-Growth Tech,0.3333333333333333,0
2021-02-27,XOM,0.0,1,Traditional Value,0.0,0
2021-02-28,AAPL,0.0,1,High-Growth Tech,0.0,0
2021-02-28,AMZN,0.0,1,High-Growth Tech,0.0,0
2021-02-28,NVDA,0.0,2,High-Growth Tech,0.0,0
2021-02-28,TSLA,0.25,4,High-Growth Tech,0.25,0
2021-02-28,XOM,-0.5,2,Traditional Value,-0.5,0
2021-03-01,AAPL,0.0,1,High-Growth Tech,0.0,0
2021-03-01,AMZN,0.0,1,High-Growth Tech,0.0,0
2021-03-01,NVDA,0.0,1,High-Growth Tech,0.0,0
2021-03-01,TSLA,0.0,5,High-Growth Tech,0.0,0
2021-03-02,AAPL,0.0,2,High-Growth Tech,0.0,0
2021-03-02,AMZN,-0.5,2,High-Growth Tech,-0.5,0
2021-03-02,TSLA,-0.25,4,High-Growth Tech,-0.25,0
2021-03-03,AAPL,0.25,4,High-Growth Tech,0.25,0
2021-03-03,AMZN,0.0,2,High-Growth Tech,0.0,0
2021-03-03,MSFT,1.0,1,High-Growth Tech,1.0,0
2021-03-03,TSLA,-0.1111111111111111,9,High-Growth Tech,-0.1111111111111111,0
2021-03-04,AAPL,0.0,3,High-Growth Tech,0.0,0
2021-03-04,AMZN,0.2,5,High-Growth Tech,0.2,0
2021-03-04,JPM,-0.5,2,Traditional Value,-0.5,0
2021-03-04,MSFT,-0.25,4,High-Growth Tech,-0.25,0
2021-03-04,NVDA,-1.0,2,High-Growth Tech,-1.0,0
2021-03-04,TSLA,-0.3076923076923077,13,High-Growth Tech,-0.3076923076923077,0
2021-03-04,XOM,1.0,1,Traditional Value,1.0,0
2021-03-05,AAPL,-0.3333333333333333,6,High-Growth Tech,-0.3333333333333333,0
2021-03-05,AMZN,0.0,8,High-Growth Tech,0.0,0
2021-03-05,JPM,0.0,1,Traditional Value,0.0,0
2021-03-05,MSFT,0.3333333333333333,3,High-Growth Tech,0.3333333333333333,0
2021-03-05,TSLA,0.2,15,High-Growth Tech,0.2,0
2021-03-06,AAPL,0.0,1,High-Growth Tech,0.0,0
2021-03-06,AMZN,0.3333333333333333,6,High-Growth Tech,0.3333333333333333,0
2021-03-06,JPM,0.0,1,Traditional Value,0.0,0
2021-03-06,TSLA,-0.2857142857142857,14,High-Growth Tech,-0.2857142857142857,0
2021-03-06,XOM,0.0,3,Traditional Value,0.0,0
2021-03-07,AAPL,0.0,1,High-Growth Tech,0.0,0
2021-03-07,AMZN,0.0,2,High-Growth Tech,0.0,0
2021-03-07,JPM,0.0,1,Traditional Value,0.0,0
2021-03-07,NVDA,0.0,1,High-Growth Tech,0.0,0
2021-03-07,TSLA,0.0,11,High-Growth Tech,0.0,0
2021-03-08,AAPL,0.0,3,High-Growth Tech,0.0,0
2021-03-08,AMZN,0.0,2,High-Growth Tech,0.0,0
2021-03-08,MSFT,-0.5,2,High-Growth Tech,-0.5,0
2021-03-08,TSLA,0.16666666666666666,6,High-Growth Tech,0.16666666666666666,0
2021-03-09,AAPL,-0.3333333333333333,3,High-Growth Tech,-0.3333333333333333,0
2021-03-09,AMZN,0.0,2,High-Growth Tech,0.0,0
2021-03-09,JPM,-0.5,2,Traditional Value,-0.5,0
2021-03-09,MSFT,0.0,2,High-Growth Tech,0.0,0
2021-03-09,NVDA,0.5,2,High-Growth Tech,0.5,0
2021-03-09,TSLA,0.0,6,High-Growth Tech,0.0,0
2021-03-10,AAPL,0.0,6,High-Growth Tech,0.0,0
2021-03-10,AMZN,0.0,3,High-Growth Tech,0.0,0
2021-03-10,JPM,0.0,1,Traditional Value,0.0,0
2021-03-10,MSFT,0.0,2,High-Growth Tech,0.0,0
2021-03-10,NVDA,0.0,2,High-Growth Tech,0.0,0
2021-03-10,TSLA,0.2222222222222222,18,High-Growth Tech,0.2222222222222222,0
2021-03-11,AAPL,1.0,1,High-Growth Tech,1.0,0
2021-03-11,AMZN,-0.5,2,High-Growth Tech,-0.5,0
2021-03-11,JPM,0.0,1,Traditional Value,0.0,0
2021-03-11,MSFT,-1.0,1,High-Growth Tech,-1.0,0
2021-03-11,TSLA,0.25,4,High-Growth Tech,0.25,0
2021-03-12,AAPL,0.0,2,High-Growth Tech,0.0,0
2021-03-12,AMZN,0.0,2,High-Growth Tech,0.0,0
2021-03-12,MSFT,0.5,2,High-Growth Tech,0.5,0
2021-03-12,TSLA,0.16666666666666666,6,High-Growth Tech,0.16666666666666666,0
2021-03-13,AMZN,0.0,1,High-Growth Tech,0.0,0
2021-03-13,MSFT,1.0,1,High-Growth Tech,1.0,0
2021-03-13,TSLA,0.0,4,High-Growth Tech,0.0,0
2021-03-14,AAPL,-1.0,1,High-Growth Tech,-1.0,0
2021-03-14,AMZN,0.0,1,High-Growth Tech,0.0,0
2021-03-14,TSLA,0.0,5,High-Growth Tech,0.0,0
2021-03-15,AAPL,0.0,2,High-Growth Tech,0.0,0
2021-03-15,AMZN,0.0,1,High-Growth Tech,0.0,0
2021-03-15,NVDA,0.0,1,High-Growth Tech,0.0,0
2021-03-15,TSLA,-0.25,4,High-Growth Tech,-0.25,0
2021-03-16,AAPL,0.0,1,High-Growth Tech,0.0,0
2021-03-16,AMZN,-0.5,2,High-Growth Tech,-0.5,0
2021-03-16,MSFT,0.0,1,High-Growth Tech,0.0,0
2021-03-16,TSLA,0.0,8,High-Growth Tech,0.0,0
2021-03-17,AMZN,0.0,2,High-Growth Tech,0.0,0
2021-03-17,TSLA,-0.25,4,High-Growth Tech,-0.25,0
2021-03-18,AAPL,0.0,3,High-Growth Tech,0.0,0
2021-03-18,AMZN,0.0,1,High-Growth Tech,0.0,0
2021-03-18,MSFT,-1.0,1,High-Growth Tech,-1.0,0
2021-03-18,TSLA,0.3333333333333333,3,High-Growth Tech,0.3333333333333333,0
2021-03-19,AAPL,-0.5,2,High-Growth Tech,-0.5,0
2021-03-19,AMZN,0.0,1,High-Growth Tech,0.0,0
2021-03-19,TSLA,-0.3333333333333333,3,High-Growth Tech,-0.3333333333333333,0
2021-03-20,AAPL,-1.0,1,High-Growth Tech,-1.0,0
2021-03-20,JPM,-1.0,1,Traditional Value,-1.0,0
2021-03-20,TSLA,0.5,2,High-Growth Tech,0.5,0
2021-03-21,AMZN,0.0,1,High-Growth Tech,0.0,0
2021-03-21,MSFT,0.0,1,High-Growth Tech,0.0,0
2021-03-21,TSLA,0.0,3,High-Growth Tech,0.0,0
2021-03-22,AAPL,-1.0,1,High-Growth Tech,-1.0,0
2021-03-22,AMZN,0.0,2,High-Growth Tech,0.0,0
2021-03-22,TSLA,0.0,6,High-Growth Tech,0.0,0
2021-03-23,AMZN,0.0,1,High-Growth Tech,0.0,0
2021-03-23,JPM,0.0,2,Traditional Value,0.0,0
2021-03-23,MSFT,0.0,1,High-Growth Tech,0.0,0
2021-03-23,NVDA,0.0,1,High-Growth Tech,0.0,0
2021-03-23,TSLA,0.0,4,High-Growth Tech,0.0,0
2021-03-24,AAPL,0.0,1,High-Growth Tech,0.0,0
2021-03-24,AMZN,-0.3333333333333333,3,High-Growth Tech,-0.3333333333333333,0
2021-03-24,JPM,0.0,1,Traditional Value,0.0,0
2021-03-24,TSLA,0.3333333333333333,3,High-Growth Tech,0.3333333333333333,0
2021-03-25,AAPL,0.0,2,High-Growth Tech,0.0,0
2021-03-25,MSFT,0.0,1,High-Growth Tech,0.0,0
2021-03-25,TSLA,0.0,2,High-Growth Tech,0.0,0
2021-03-26,AAPL,0.0,1,High-Growth Tech,0.0,0
2021-03-26,AMZN,0.0,1,High-Growth Tech,0.0,0
2021-03-26,TSLA,-0.2,5,High-Growth Tech,-0.2,0
2021-03-27,AAPL,0.0,1,High-Growth Tech,0.0,0
2021-03-27,AMZN,0.3333333333333333,3,High-Growth Tech,0.3333333333333333,0
2021-03-27,NVDA,0.0,1,High-Growth Tech,0.0,0
2021-03-27,TSLA,-0.3333333333333333,3,High-Growth Tech,-0.3333333333333333,0
2021-03-28,AAPL,-1.0,1,High-Growth Tech,-1.0,0
2021-03-28,TSLA,0.0,3,High-Growth Tech,0.0,0
2021-03-29,AAPL,0.0,1,High-Growth Tech,0.0,0
2021-03-29,MSFT,0.0,1,High-Growth Tech,0.0,0
2021-03-29,TSLA,0.0,3,High-Growth Tech,0.0,0
2021-03-30,AMZN,0.0,1,High-Growth Tech,0.0,0
2021-03-30,TSLA,0.0,2,High-Growth Tech,0.0,0
2021-03-31,AMZN,-1.0,1,High-Growth Tech,-1.0,0
2021-04-01,AAPL,-0.2,5,High-Growth Tech,-0.2,0
2021-04-01,AMZN,0.0,1,High-Growth Tech,0.0,0
2021-04-01,MSFT,0.0,2,High-Growth Tech,0.0,0
2021-04-01,TSLA,0.0,4,High-Growth Tech,0.0,0
2021-04-02,AMZN,0.0,1,High-Growth Tech,0.0,0
2021-04-02,TSLA,0.0,7,High-Growth Tech,0.0,0
2021-04-03,AAPL,0.0,1,High-Growth Tech,0.0,0
2021-04-03,MSFT,0.0,1,High-Growth Tech,0.0,0
2021-04-03,TSLA,0.0,5,High-Growth Tech,0.0,0
2021-04-04,AMZN,1.0,1,High-Growth Tech,1.0,0
2021-04-05,MSFT,0.0,1,High-Growth Tech,0.0,0
2021-04-05,TSLA,0.3333333333333333,3,High-Growth Tech,0.3333333333333333,0
2021-04-06,MSFT,0.0,1,High-Growth Tech,0.0,0
2021-04-06,TSLA,0.16666666666666666,6,High-Growth Tech,0.16666666666666666,0
2021-04-07,AAPL,-0.5,2,High-Growth Tech,-0.5,0
2021-04-07,TSLA,0.0,3,High-Growth Tech,0.0,0
2021-04-08,AAPL,0.0,1,High-Growth Tech,0.0,0
2021-04-08,TSLA,0.0,3,High-Growth Tech,0.0,0
2021-04-09,AAPL,0.0,2,High-Growth Tech,0.0,0
2021-04-09,JPM,-0.5,2,Traditional Value,-0.5,0
2021-04-09,TSLA,0.25,4,High-Growth Tech,0.25,0
2021-04-10,AAPL,0.0,1,High-Growth Tech,0.0,0
2021-04-10,AMZN,0.0,1,High-Growth Tech,0.0,0
2021-04-10,JPM,0.0,1,Traditional Value,0.0,0
2021-04-10,NVDA,0.0,1,High-Growth Tech,0.0,0
2021-04-10,TSLA,0.0,2,High-Growth Tech,0.0,0
2021-04-11,AAPL,0.0,1,High-Growth Tech,0.0,0
2021-04-11,NVDA,0.0,1,High-Growth Tech,0.0,0
2021-04-11,TSLA,0.0,1,High-Growth Tech,0.0,0
2021-04-12,MSFT,0.0,1,High-Growth Tech,0.0,0
2021-04-12,TSLA,0.0,1,High-Growth Tech,0.0,0
2021-04-13,AMZN,-0.5,2,High-Growth Tech,-0.5,0
2021-04-13,JPM,0.3333333333333333,3,Traditional Value,0.3333333333333333,0
2021-04-13,MSFT,0.0,1,High-Growth Tech,0.0,0
2021-04-13,NVDA,0.0,1,High-Growth Tech,0.0,0
2021-04-13,TSLA,0.0,2,High-Growth Tech,0.0,0
2021-04-13,XOM,-1.0,1,Traditional Value,-1.0,0
2021-04-14,AAPL,0.0,4,High-Growth Tech,0.0,0
2021-04-14,AMZN,0.0,2,High-Growth Tech,0.0,0
2021-04-14,MSFT,0.0,1,High-Growth Tech,0.0,0
2021-04-14,NVDA,0.0,2,High-Growth Tech,0.0,0
2021-04-14,TSLA,0.0,6,High-Growth Tech,0.0,0
2021-04-15,AMZN,1.0,1,High-Growth Tech,1.0,0
2021-04-15,TSLA,-0.2222222222222222,9,High-Growth Tech,-0.2222222222222222,0
2021-04-16,TSLA,0.0,4,High-Growth Tech,0.0,0
2021-04-17,AAPL,-1.0,2,High-Growth Tech,-1.0,0
2021-04-17,TSLA,-0.2,5,High-Growth Tech,-0.2,0
2021-04-18,TSLA,-1.0,1,High-Growth Tech,-1.0,0
2021-04-19,AAPL,0.0,2,High-Growth Tech,0.0,0
2021-04-19,JPM,0.0,1,Traditional Value,0.0,0
2021-04-19,TSLA,-0.5,4,High-Growth Tech,-0.5,0
2021-04-20,AAPL,-0.3333333333333333,3,High-Growth Tech,-0.3333333333333333,0
2021-04-20,NVDA,-1.0,1,High-Growth Tech,-1.0,0
2021-04-20,TSLA,-0.3333333333333333,3,High-Growth Tech,-0.3333333333333333,0
2021-04-20,XOM,0.0,1,Traditional Value,0.0,0
2021-04-21,AAPL,1.0,1,High-Growth Tech,1.0,0
2021-04-21,AMZN,0.0,1,High-Growth Tech,0.0,0
2021-04-21,MSFT,0.0,1,High-Growth Tech,0.0,0
2021-04-22,AAPL,0.0,1,High-Growth Tech,0.0,0
2021-04-22,NVDA,0.0,1,High-Growth Tech,0.0,0
2021-04-22,TSLA,0.0,4,High-Growth Tech,0.0,0
2021-04-23,AAPL,0.0,1,High-Growth Tech,0.0,0
2021-04-23,TSLA,0.0,1,High-Growth Tech,0.0,0
2021-04-24,TSLA,-0.5,2,High-Growth Tech,-0.5,0
2021-04-25,AAPL,0.0,1,High-Growth Tech,0.0,0
2021-04-25,TSLA,0.0,1,High-Growth Tech,0.0,0
2021-04-26,AMZN,1.0,1,High-Growth Tech,1.0,0
2021-04-26,MSFT,0.0,1,High-Growth Tech,0.0,0
2021-04-26,TSLA,0.0,1,High-Growth Tech,0.0,0
2021-04-27,AAPL,-0.5,2,High-Growth Tech,-0.5,0
2021-04-27,AMZN,-0.5,2,High-Growth Tech,-0.5,0
2021-04-27,TSLA,0.3333333333333333,3,High-Growth Tech,0.3333333333333333,0
2021-04-28,AAPL,0.0,1,High-Growth Tech,0.0,0
2021-04-28,MSFT,0.0,3,High-Growth Tech,0.0,0
2021-04-29,AAPL,0.5,2,High-Growth Tech,0.5,0
2021-04-29,AMZN,0.0,1,High-Growth Tech,0.0,0
2021-04-29,MSFT,1.0,1,High-Growth Tech,1.0,0
2021-04-29,NVDA,-1.0,1,High-Growth Tech,-1.0,0
2021-04-29,TSLA,0.0,6,High-Growth Tech,0.0,0
2021-04-30,AAPL,0.0,1,High-Growth Tech,0.0,0
2021-04-30,AMZN,0.0,1,High-Growth Tech,0.0,0
2021-04-30,TSLA,-0.5,2,High-Growth Tech,-0.5,0
2021-05-01,AAPL,0.0,1,High-Growth Tech,0.0,0
2021-05-01,AMZN,0.0,1,High-Growth Tech,0.0,0
2021-05-01,MSFT,0.0,1,High-Growth Tech,0.0,0
2021-05-01,TSLA,0.0,4,High-Growth Tech,0.0,0
2021-05-05,JPM,0.0,1,Traditional Value,0.0,0
2021-05-05,TSLA,0.5,2,High-Growth Tech,0.5,0
2021-05-06,AAPL,-1.0,1,High-Growth Tech,-1.0,0
2021-05-06,AMZN,0.0,2,High-Growth Tech,0.0,0
2021-05-06,NVDA,-0.3333333333333333,3,High-Growth Tech,-0.3333333333333333,0
2021-05-06,TSLA,0.25,4,High-Growth Tech,0.25,0
2021-05-07,AAPL,0.0,2,High-Growth Tech,0.0,0
2021-05-07,AMZN,-0.5,2,High-Growth Tech,-0.5,0
2021-05-07,TSLA,0.0,2,High-Growth Tech,0.0,0
2021-05-08,JPM,0.0,2,Traditional Value,0.0,0
2021-05-08,MSFT,0.0,1,High-Growth Tech,0.0,0
2021-05-08,TSLA,0.0,1,High-Growth Tech,0.0,0
2021-05-09,AMZN,0.0,1,High-Growth Tech,0.0,0
2021-05-09,TSLA,0.0,2,High-Growth Tech,0.0,0
2021-05-10,TSLA,-0.25,4,High-Growth Tech,-0.25,0
2021-05-10,XOM,1.0,1,Traditional Value,1.0,0
2021-05-11,AAPL,-1.0,1,High-Growth Tech,-1.0,0
2021-05-11,AMZN,0.0,1,High-Growth Tech,0.0,0
2021-05-11,JPM,-1.0,1,Traditional Value,-1.0,0
2021-05-11,MSFT,1.0,1,High-Growth Tech,1.0,0
2021-05-11,TSLA,-1.0,1,High-Growth Tech,-1.0,0
2021-05-12,AAPL,0.0,2,High-Growth Tech,0.0,0
2021-05-12,TSLA,0.0,4,High-Growth Tech,0.0,0
2021-05-13,MSFT,-1.0,1,High-Growth Tech,-1.0,0
2021-05-13,TSLA,0.0,4,High-Growth Tech,0.0,0
2021-05-14,AAPL,1.0,2,High-Growth Tech,1.0,0
2021-05-14,AMZN,-0.3333333333333333,3,High-Growth Tech,-0.3333333333333333,0
2021-05-14,JPM,-1.0,1,Traditional Value,-1.0,0
2021-05-14,MSFT,0.0,1,High-Growth Tech,0.0,0
2021-05-14,TSLA,-0.2222222222222222,9,High-Growth Tech,-0.2222222222222222,0
2021-05-15,MSFT,0.0,2,High-Growth Tech,0.0,0
2021-05-15,TSLA,0.0,2,High-Growth Tech,0.0,0
2021-05-15,XOM,0.0,1,Traditional Value,0.0,0
